id,slug,name,name_zh,author,publisher,year,type,level,status,description,sort_order,original_fields,scan_source,proofread_note
15,Jitsuyo_Nisshin_Go_Shokkei,實用日汕語捷徑,實用日汕語捷徑,[日]安重龜三郎,汕頭東瀛學校,1920,textbook,SS,public_domain,大正九年（1920）出版。,15,"ja,han",,
16,Hue_Chip_Ngia_Sok_Tsap_Ngou_Im_Tshuan_Png,彙集雅俗十五音全本（擊木知音）,彙集雅俗十五音全本（擊木知音）,江夏懋亭氏,汕頭文明商務書局發行,1915,dictionary,SS,public_domain,[維基百科](https://zh.wikipedia.org/wiki/彙集雅俗通十五音全本),16,han,,
17,Iau_Li_Mng_Tap,要理問答,要理問答,香港主教師准,,1911,scripture,SS,public_domain,,17,"puj,han",,
18,Noinn_Kiann_Ki,重刊五色潮泉插科增入詩詞北曲勾欄荔鏡記戲文,重刊五色潮泉插科增入詩詞北曲勾欄荔鏡記戲文,佚名,,1566,play,SS,public_domain,明嘉靖四十五年（1566）刊本。潮州泉州方言戲文。[互聯網檔案館](https://archive.org/details/02111377.cn) | [Wikisource](https://zh.wikisource.org/zh-hant/荔鏡記) | [中國哲學書電子化計劃](https://ctext.org/wiki.pl?chapter=127506&if=gb),18,han,,
19,Kim_Hue_Nng,重補摘錦潮調金花女大全,重補摘錦潮調金花女大全,佚名,,1600,play,SS,public_domain,明末刊本，約萬曆年間（1573-1620），原藏日本東京大學東洋文化研究所。潮調劇本，上欄附刻《蘇六娘》。[東京大學東洋文化研究所](http://shanben.ioc.u-tokyo.ac.jp/main_p.php?nu=D8423400&order=rn_no&no=01753) | [中國哲學書電子化計劃](https://ctext.org/wiki.pl?if=gb&chapter=86124),19,han,東京大學東洋文化研究所數位化,
20,English_and_Chinese_Vocabulary_in_the_Court_Dialect,An English and Chinese Vocabulary in the Court Dialect,英華韻府歷階,Samuel Wells Williams（[美]衛三畏）,,1844,dictionary,SS,public_domain,1844 年澳門出版。以南京官話為基礎，收錄廣州、廈門、福州、寧波、上海、潮州等地方音。由 Google 數位化。[Google Books](https://www.google.com.sg/books/edition/An_English_and_Chinese_Vocabulary_in_the/RQOSGIumLUQC),20,"en,han,puj",Google 數位化,
21,Ku_ieh_Iak_Na_Tsur,KŪ-IEH IAK-NÁ TSṲ — E̍K-TSÒ TIÊ-CHIU PE̍H-UĒ,舊約約拿書：譯做潮州白話,John Campbell Gibson（[英]汲約翰）,汕頭：禮拜堂 HÔNG-SOH-HṲN 印,1888,scripture,SS,public_domain,哈佛燕京圖書館（Spillett 930）及澳洲國立圖書館藏。[Harvard Yenching Library](https://nrs.lib.harvard.edu/urn-3:fhcl:32647785) | [FHL.net](https://bible.fhl.net/gbdoc/ob/nob.html?book=204),21,puj,哈佛燕京圖書館數位化,
22,Sin_ieh_Ia_Kok_Tsur_Sin,SIN-IEH IÁ-KOK TSṲ-SÌN — E̍K-TSÒ TIÊ-CHIU PE̍H-UĒ,新約雅各書信：譯做潮州白話,William Duffus（[英]卓威廉）,汕頭：禮拜堂 HÔNG-SOH-HṲN 印,1888,scripture,SS,public_domain,澳洲國立圖書館藏（Spillett 932），由 Dr. Kenny Wang 翻拍數位化。[WikiSource](https://zh-min-nan.wikisource.org/wiki/Sin-ieh_I%C3%A1-kok_Ts%E1%B9%B3-s%C3%ACn_e%CC%8Dk-ts%C3%B2_Ti%C3%AA-chiu_Pe%CC%8Dh-u%C4%93) | [FHL.net](https://bible.fhl.net/gbdoc/ob/nob.html?book=205),22,puj,由 Dr. Kenny Wang 翻拍數位化，影像著作權歸其所有,
23,Sin_ieh_Tsuan_Tsu_Chien_Kng_Ma_Thai_Kau_Sai_Thu,KIÙ-TSÚ IÂ-SOU KI-TOK KÂI SIN-IEH TSUÂN-TSṲ CHIĒⁿ-KŃG MÁ-THÀI KÀU SÀI-THÛ, 救主耶穌基督个新約全書（上卷：馬太到使徒）,William Duffus（[英]卓威廉）; John Campbell Gibson（[英]汲約翰）; P. J. Maclagan（[英]安飽德）,大英國內外聖書會,1892,scripture,SS,public_domain,哈佛大學圖書館藏（Spillett 943）。[FHL.net](https://bible.fhl.net/gbdoc/ob/nob.html?book=145) | [Google Books](https://books.google.com.my/books?id=huw9AAAAYAAJ),23,puj,,
24,Sai_Thu_Pau_Lo_So_Kia_Kai_Tsur_Sin_Hui_Lip_Pi_Chi_Hui_Li_Mng,SÀI-THÛ PÁU-LÔ SÓ-KIÀ KÂI TSṲ-SÌN HUI-LÌP-PÍ CHÌ HUI-LĪ-MN̂G POIH PHIEN - E̍K-TSÒ TIÊ-CHIU PE̍H-UĒ,使徒保羅所寄个書信（腓立比至腓利門八篇）：譯做潮州白話,John Campbell Gibson（[英]汲約翰）; P. J. Maclagan（[英]安飽德）,汕頭：禮拜堂 HÔNG-SOH-HṲN 印,1894,scripture,SS,public_domain,腓立比書–歌羅西書、提摩太前書–腓利門書由 Gibson 譯，帖撒羅尼迦前後書由 Maclagan 譯。澳洲國立圖書館藏（Spillett 949），由 Dr. Kenny Wang 翻拍數位化。[FHL.net](https://bible.fhl.net/gbdoc/ob/nob.html?book=126),24,puj,由 Dr. Kenny Wang 翻拍數位化，影像著作權歸其所有,
25,Ku_ieh_San_Bu_Zur_E_Kng,KŪ-IEH SÀN-BÚ-ZṲ Ē-KŃG TSHUÂN-TSṲ — E̍K-TSÒ TIÊ-CHIU PE̍H-UĒ,舊約撒母耳下卷全書：譯做潮州白話,John Campbell Gibson（[英]汲約翰）,汕頭：禮拜堂 HÔNG-SOH-HṲN 印,1898,scripture,SS,public_domain,哈佛大學圖書館藏（Spillett 956）。,25,puj,Google 數位化,
